file number,transaction number,packet number,command,command value,dest,src,time,location
1,1,267,level,25,Hub,Edge,2020-09-04 18:36:31,1
1,1,275,level,25,Edge,Hub,2020-09-04 18:36:31,2
1,1,277,level,25,Edge,Hub,2020-09-04 18:36:31,3
1,1,279,level,25,Hub,Edge,2020-09-04 18:36:31,4
1,1,283,level,25,Edge,Hub,2020-09-04 18:36:32,5
1,2,339,level,127,Hub,Edge,2020-09-04 18:39:34,1
1,2,347,level,127,Edge,Hub,2020-09-04 18:39:34,2
1,2,349,level,127,Edge,Hub,2020-09-04 18:39:34,3
1,2,351,level,127,Hub,Edge,2020-09-04 18:39:34,4
1,2,355,level,127,Edge,Hub,2020-09-04 18:39:34,5
1,3,361,color,1,Hub,Edge,2020-09-04 18:40:05,1
1,3,365,color,1,Edge,Hub,2020-09-04 18:40:05,2
1,3,367,color,333,Hub,Edge,2020-09-04 18:40:06,3
1,3,371,color,333,Edge,Hub,2020-09-04 18:40:06,4
1,3,373,color,333,Hub,Edge,2020-09-04 18:40:07,5
1,3,377,color,333,Edge,Hub,2020-09-04 18:40:08,6
1,4,379,color,1,Hub,Edge,2020-09-04 18:40:10,1
1,4,383,color,1,Edge,Hub,2020-09-04 18:40:10,2
1,4,385,color,200,Hub,Edge,2020-09-04 18:40:10,3
1,4,389,color,200,Edge,Hub,2020-09-04 18:40:10,4
1,4,392,color,200,Hub,Edge,2020-09-04 18:40:12,5
1,4,396,color,200,Edge,Hub,2020-09-04 18:40:12,6
1,5,398,On/Off,0,Hub,Edge,2020-09-04 18:40:13,1
1,5,402,On/Off,0,Edge,Hub,2020-09-04 18:40:13,3
1,5,404,On/Off,0,Edge,Hub,2020-09-04 18:40:13,2
1,5,406,On/Off,0,Hub,Edge,2020-09-04 18:40:13,4
1,5,410,On/Off,0,Edge,Hub,2020-09-04 18:40:13,5
1,6,412,On/Off,1,Hub,Edge,2020-09-04 18:40:15,1
1,6,416,On/Off,1,Edge,Hub,2020-09-04 18:40:15,3
1,6,418,On/Off,1,Edge,Hub,2020-09-04 18:40:15,2
1,6,420,On/Off,1,Hub,Edge,2020-09-04 18:40:15,4
1,6,424,On/Off,1,Edge,Hub,2020-09-04 18:40:15,5
1,7,427,level,25,Hub,Edge,2020-09-04 18:40:20,1
1,7,431,level,25,Edge,Hub,2020-09-04 18:40:20,2
1,7,433,level,25,Edge,Hub,2020-09-04 18:40:20,3
1,7,435,level,25,Hub,Edge,2020-09-04 18:40:20,4
1,7,439,level,25,Edge,Hub,2020-09-04 18:40:20,5
1,8,441,color,1,Hub,Edge,2020-09-04 18:40:23,1
1,8,445,color,1,Edge,Hub,2020-09-04 18:40:23,2
1,8,447,color,370,Hub,Edge,2020-09-04 18:40:23,3
1,8,451,color,370,Edge,Hub,2020-09-04 18:40:23,4
1,8,453,color,370,Hub,Edge,2020-09-04 18:40:25,5
1,8,457,color,370,Edge,Hub,2020-09-04 18:40:25,6
1,9,459,level,127,Hub,Edge,2020-09-04 18:40:27,1
1,9,463,level,127,Edge,Hub,2020-09-04 18:40:27,2
1,9,467,level,127,Edge,Hub,2020-09-04 18:40:28,3
1,9,469,level,127,Hub,Edge,2020-09-04 18:40:28,4
1,9,473,level,127,Edge,Hub,2020-09-04 18:40:28,5
1,10,480,color,1,Hub,Edge,2020-09-04 18:40:32,1
1,10,488,color,286,Hub,Edge,2020-09-04 18:40:32,3
1,10,490,color,1,Edge,Hub,2020-09-04 18:40:32,2
1,10,494,color,286,Edge,Hub,2020-09-04 18:40:32,4
1,10,497,color,286,Hub,Edge,2020-09-04 18:40:34,5
1,10,501,color,286,Edge,Hub,2020-09-04 18:40:34,6
1,11,503,level,25,Hub,Edge,2020-09-04 18:40:37,1
1,11,507,level,25,Edge,Hub,2020-09-04 18:40:37,2
1,11,509,level,25,Edge,Hub,2020-09-04 18:40:37,3
1,11,513,level,25,Hub,Edge,2020-09-04 18:40:37,4
1,11,517,level,25,Edge,Hub,2020-09-04 18:40:37,5
1,12,520,level,254,Hub,Edge,2020-09-04 18:40:42,1
1,12,524,level,254,Edge,Hub,2020-09-04 18:40:42,2
1,12,526,level,254,Edge,Hub,2020-09-04 18:40:43,3
1,12,528,level,254,Hub,Edge,2020-09-04 18:40:43,4
1,12,532,level,254,Edge,Hub,2020-09-04 18:40:43,5
1,13,535,On/Off,0,Hub,Edge,2020-09-04 18:40:48,1
1,13,539,On/Off,0,Edge,Hub,2020-09-04 18:40:48,3
1,13,541,On/Off,0,Edge,Hub,2020-09-04 18:40:48,2
1,13,543,On/Off,0,Hub,Edge,2020-09-04 18:40:48,4
1,13,547,On/Off,0,Edge,Hub,2020-09-04 18:40:48,5
1,14,550,level,25,Hub,Edge,2020-09-04 18:40:50,1
1,14,554,level,25,Edge,Hub,2020-09-04 18:40:50,2
1,14,556,level,25,Edge,Hub,2020-09-04 18:40:50,3
1,14,558,level,25,Edge,Hub,2020-09-04 18:40:50,6
1,14,560,level,25,Hub,Edge,2020-09-04 18:40:50,4
1,14,564,level,25,Edge,Hub,2020-09-04 18:40:51,5
1,14,566,level,25,Hub,Edge,2020-09-04 18:40:51,7
1,14,570,level,25,Edge,Hub,2020-09-04 18:40:51,8
1,15,572,color,1,Hub,Edge,2020-09-04 18:40:57,1
1,15,576,color,1,Edge,Hub,2020-09-04 18:40:57,2
1,15,578,color,250,Hub,Edge,2020-09-04 18:40:57,3
1,15,582,color,250,Edge,Hub,2020-09-04 18:40:57,4
1,15,584,color,250,Hub,Edge,2020-09-04 18:40:59,5
1,15,588,color,250,Edge,Hub,2020-09-04 18:40:59,6
1,16,590,level,254,Hub,Edge,2020-09-04 18:41:01,1
1,16,594,level,254,Edge,Hub,2020-09-04 18:41:01,2
1,16,596,level,254,Edge,Hub,2020-09-04 18:41:01,3
