file number,transaction number,packet number,command,command value,NG,dest,src,time,location
0,1,253,On/Off,0,OK(Sniffing Error),Hub,Edge,2020-09-30 13:33:27,1
0,1,263,On/Off,0,OK(Sniffing Error),Edge,Hub,2020-09-30 13:33:27,3
0,1,265,On/Off,0,OK(Sniffing Error),Hub,Edge,2020-09-30 13:33:27,4
0,1,269,On/Off,0,OK(Sniffing Error),Edge,Hub,2020-09-30 13:33:28,5
0,2,273,color,1,OK,Hub,Edge,2020-09-30 13:33:36,1
0,2,277,color,1,OK,Edge,Hub,2020-09-30 13:33:36,7
0,2,279,color,286,OK,Hub,Edge,2020-09-30 13:33:36,3
0,2,281,color,1,OK,Edge,Hub,2020-09-30 13:33:36,2
0,2,285,color,1,OK,Hub,Edge,2020-09-30 13:33:36,8
0,2,287,color,286,OK,Edge,Hub,2020-09-30 13:33:36,4
0,2,291,color,1,OK,Edge,Hub,2020-09-30 13:33:36,9
0,2,298,color,286,OK,Hub,Edge,2020-09-30 13:33:38,5
0,2,306,color,286,OK,Edge,Hub,2020-09-30 13:33:38,6
0,3,308,color,1,OK,Hub,Edge,2020-09-30 13:33:45,1
0,3,312,color,1,OK,Edge,Hub,2020-09-30 13:33:45,2
0,3,314,color,370,OK,Hub,Edge,2020-09-30 13:33:45,3
0,3,318,color,370,OK,Edge,Hub,2020-09-30 13:33:45,4
0,3,320,color,370,OK,Hub,Edge,2020-09-30 13:33:47,5
0,3,324,color,370,OK,Edge,Hub,2020-09-30 13:33:47,6
0,4,327,On/Off,0,OK,Hub,Edge,2020-09-30 13:33:48,1
0,4,331,On/Off,0,OK,Edge,Hub,2020-09-30 13:33:48,3
0,4,333,On/Off,0,OK,Edge,Hub,2020-09-30 13:33:48,2
0,4,335,On/Off,0,OK,Hub,Edge,2020-09-30 13:33:48,4
0,4,339,On/Off,0,OK,Edge,Hub,2020-09-30 13:33:48,5
0,5,342,color,1,OK,Hub,Edge,2020-09-30 13:33:51,1
0,5,346,color,1,OK,Edge,Hub,2020-09-30 13:33:51,7
0,5,348,color,200,OK,Hub,Edge,2020-09-30 13:33:51,3
0,5,350,color,1,OK,Edge,Hub,2020-09-30 13:33:51,2
0,5,354,color,1,OK,Hub,Edge,2020-09-30 13:33:51,8
0,5,356,color,200,OK,Edge,Hub,2020-09-30 13:33:51,4
0,5,360,color,1,OK,Edge,Hub,2020-09-30 13:33:51,9
0,5,362,color,200,OK,Hub,Edge,2020-09-30 13:33:53,5
0,5,366,color,200,OK,Edge,Hub,2020-09-30 13:33:53,6
0,6,370,color,1,OK,Hub,Edge,2020-09-30 13:34:03,1
0,6,374,color,1,OK,Edge,Hub,2020-09-30 13:34:04,2
0,6,376,color,250,OK,Hub,Edge,2020-09-30 13:34:04,3
0,6,380,color,250,OK,Edge,Hub,2020-09-30 13:34:04,4
0,6,383,color,250,OK,Hub,Edge,2020-09-30 13:34:05,5
0,6,387,color,250,OK,Edge,Hub,2020-09-30 13:34:06,6
0,7,390,color,1,OK,Hub,Edge,2020-09-30 13:34:08,1
0,7,394,color,1,OK,Edge,Hub,2020-09-30 13:34:08,2
0,7,396,color,370,OK,Hub,Edge,2020-09-30 13:34:08,3
0,7,400,color,370,OK,Edge,Hub,2020-09-30 13:34:08,4
0,7,402,color,370,OK,Hub,Edge,2020-09-30 13:34:10,5
0,7,406,color,370,OK,Edge,Hub,2020-09-30 13:34:10,6
0,8,408,On/Off,0,OK,Hub,Edge,2020-09-30 13:34:13,1
0,8,412,On/Off,0,OK,Edge,Hub,2020-09-30 13:34:13,3
0,8,414,On/Off,0,OK,Edge,Hub,2020-09-30 13:34:13,2
0,8,416,On/Off,0,OK,Hub,Edge,2020-09-30 13:34:13,4
0,8,420,On/Off,0,OK,Edge,Hub,2020-09-30 13:34:13,5
0,9,422,color,1,OK,Hub,Edge,2020-09-30 13:34:18,1
0,9,426,color,1,OK,Edge,Hub,2020-09-30 13:34:18,7
0,9,428,color,370,OK,Hub,Edge,2020-09-30 13:34:18,3
0,9,430,color,1,OK,Edge,Hub,2020-09-30 13:34:18,2
0,9,434,color,1,OK,Hub,Edge,2020-09-30 13:34:18,8
0,9,436,color,370,OK,Edge,Hub,2020-09-30 13:34:18,4
0,9,440,color,1,OK,Edge,Hub,2020-09-30 13:34:18,9
0,9,443,color,370,OK,Hub,Edge,2020-09-30 13:34:20,5
0,9,447,color,370,OK,Edge,Hub,2020-09-30 13:34:20,6
